university_id,university,n_grad,lat,lng
63013,Harvard Business School,2140,42.3655147,-71.1221412
54373,American Institute of Certified Public Accountants (AICPA),1623,35.9167901,-78.9825369
64966,Wharton School University of Pennsylvania,825,39.951273,-75.1978103
63830,Harvard University,789,42.3770029,-71.1166601
61935,Stanford University,757,37.4274745,-122.169719
61632,Princeton University,497,40.3430942,-74.6550739
67360,Stanford University Graduate School of Business,468,37.4280521,-122.1611732
62981,Yale University,443,41.3163244,-72.9223431
40436,Massachusetts Institute of Technology (MIT),442,42.360091,-71.09416
60457,Cornell University,381,42.4534492,-76.4735027
63187,University of Michigan,353,42.2780436,-83.7382241
77878,Kellogg School of Management Northwestern University,345,42.057427,-87.6719431
63035,Harvard Law School,336,42.3780901,-71.1188478
60434,Columbia University,329,40.8075355,-73.9625727
60488,Dartmouth College,302,43.7044406,-72.2886935
42092,University of Chicago,288,41.7886079,-87.5987133
63125,Harvard College,261,42.3829408,-71.1262508
1342262,University of Chicago Booth School of Business (University of Chicago Graduate School of Business prior to 2008),254,41.7893172,-87.5961402
62215,University of California Berkeley,248,37.8718992,-122.2585399
62218,University of California Los Angeles (UCLA),243,34.068921,-118.4451811
60547,Duke University,238,36.0014258,-78.9382286
61424,New York University (NYU),234,40.7295134,-73.9964609
61494,Northwestern University,230,42.0564594,-87.675267
63118,Columbia Business School,228,40.8089292,-73.9613646
62673,University of Southern California (USC),209,34.0199189,-118.2860946
62579,University of Pennsylvania,208,39.9522188,-75.1932137
62777,University of Virginia,208,38.0335529,-78.5079772
62367,University of Illinois (UIC),205,41.8697938,-87.6496336
41274,Institute of Chartered Financial Analysts (ICFA) (USA),169,40.7520819,-73.9801809
60749,George Washington University,169,38.8997145,-77.0485992
60920,Indiana University,163,39.1754487,-86.512627
61278,Michigan State University (MSU),155,42.701848,-84.4821719
61561,Oxford University,147,51.7548164,-1.2543668
63283,Massachusetts Institute of Technology (MIT) Sloan School of Management,143,42.3609974,-71.0829087
61523,Ohio State University (OSU),142,40.0068363,-83.0306222
377927,United States Naval Academy (USNA),142,38.9820658,-76.4839405
60193,Boston College,135,42.3355488,-71.1684945
60195,Boston University,135,42.3504997,-71.1053991
42226,Leonard N Stern School of Business New York University,128,40.7290246,-73.9965649
100431,State University of New Jersey Rutgers (Rutgers University),128,40.5008186,-74.4473991
53191,Darden School of Business University of Virginia (Formerly known as Colgate Darden School of Business University of Virginia),114,38.0524371,-78.5146441
62097,Tufts University,112,42.4074843,-71.1190232
38522,London School of Economics (LSE) (London School of Economics and Political Science),102,51.5144388,-0.1164513
61026,Johns Hopkins University,99,39.3299013,-76.6205177
62593,University of Pittsburgh,89,40.4443533,-79.960835
61143,Lehigh University,86,40.6048687,-75.3775187
61983,Syracuse University,82,43.0391534,-76.1351158
62155,University of Arizona (UOA),82,32.2318851,-110.9501094
60074,Arizona State University,78,33.4242399,-111.9280527
60627,Emory University,77,33.7971368,-84.32224
62904,Wellesley College,76,42.2935733,-71.3059277
61181,Louisiana State University (LSU),74,30.4132579,-91.1800023
63056,University of Colorado,73,40.007581,-105.2659417
52409,University of Missouri,72,38.9403808,-92.3277375
60290,Case Western Reserve University (CWRU),70,41.5043413,-81.6083838
62858,Villanova University,68,40.037056,-75.34358
62908,Wesleyan University,67,41.5566104,-72.6569041
60651,Institut Europeen d'Administration des Affaires (INSEAD) (European Institute of Business Administration),65,48.4056186,2.6861667
60229,Bucknell University,63,40.9547268,-76.8849378
60268,University of Cambridge,63,52.2042666,0.1149085
60120,Babson College,61,42.2964421,-71.2657077
77982,University of Virginia School of Law,61,38.0527259,-78.5105926
60671,Fairleigh Dickinson University,60,40.8980267,-74.0306732
574794,New York University School of Law,60,40.730537,-73.999499
75652,University of Michigan Law School,59,42.2737477,-83.7404695
60755,Georgia State University (GSU),58,33.753068,-84.3852819
63512,University of Massachusetts,58,42.3867598,-72.5300515
1578750,Loyola University Chicago,57,41.9989483,-87.6582592
77691,Stanford University School of Law,56,37.4238768,-122.1674405
44961,Kettering University (GMI Engineering & Management Institute prior to 01/1998),55,43.0115468,-83.7138531
61563,Pace University,53,40.7110772,-74.004811
62389,University of Kentucky,53,38.0306511,-84.5039697
63329,Queen's University,52,44.2252795,-76.4951412
61248,McGill University (Canada),50,45.503202,-73.5805571
64218,University of Tennessee,50,35.9544013,-83.9294564
80234,Wayne State University,48,42.3591388,-83.0665462
61585,Pepperdine University,44,34.0414045,-118.7095814
62216,University of California Davis,44,38.5382322,-121.7617125
74077,University of Pennsylvania Law School,44,39.9539144,-75.1928786
36362,Institute of Chartered Accountants in England and Wales (ICAEW),43,51.516384,-0.087887
60424,College of the Holy Cross,42,42.2392391,-71.8079608
61118,Lafayette College,42,40.6986202,-75.2087298
62214,University of California Santa Barbara (UCSB),42,34.4139629,-119.848947
757832,Haas School of Business University of California Berkeley,36,37.871558,-122.2537809
60432,Columbia College Columbia University,35,40.8067381,-73.9616521
1795510,Davidson College,34,35.5008018,-80.8446725
62795,University of Western Ontario,33,43.0095971,-81.2737336
60198,Bowdoin College,32,43.9076929,-69.9639971
60540,Drake University,32,41.6029128,-93.6552984
62278,University of Detroit,31,42.414062,-83.1379029
62511,University of Nebraska,31,40.8201966,-96.7004763
79469,Iona College,31,40.9251518,-73.7885629
533430,University of Texas School of Law Austin,31,30.2884104,-97.7307835
60157,Bentley University (Bentley College prior to 10/2008),30,42.3867756,-71.2203176
62035,Temple University,30,39.9811935,-75.1553512
62421,University of London,28,51.5229378,-0.1308206
110031,Squadron Officer School (SOS),28,32.3840025,-86.3467937
61171,London Business School,27,51.5261552,-0.160668
97372,University of Memphis (UoM),27,35.118741,-89.937141
875874,University at Albany State University of New York (State University of New York at Albany (SUNYA)),27,42.6849814,-73.824773
1244768,UCLA John E Anderson Graduate School of Management,27,34.0738081,-118.4436508
61284,Middlebury College,26,44.0081076,-73.1760413
62520,University of New Hampshire,26,43.138948,-70.9370252
60430,Colorado School of Mines (CSM),24,39.7510475,-105.2225708
62481,University of Mississippi,24,34.3647324,-89.538443
63077,Sciences Po (Institut d'Etudes Politiques de Paris) (IEP) (Paris Institute of Political Studies),24,48.8540917,2.3283745
60282,Carleton College,23,44.4613654,-93.1558264
62424,University of Louisville,23,38.2122761,-85.7585023
80404,Rochester Institute of Technology (RIT),23,43.0845894,-77.6743445
63488,Western Illinois University,22,40.4764166,-90.6871341
259346,Barnard College,22,40.8090974,-73.9639632
550078,University of Michigan Ann Arbor,22,42.2780436,-83.7382241
41177,International Institute for Management Development (IMD),20,46.510455,6.621905
62432,University of Maine,19,44.8955674,-68.6735534
78597,Samuel Curtis Johnson Graduate School of Management Cornell University (S C Johnson Graduate School of Management),19,42.4458947,-76.4832581
79279,Ball State University,19,40.2041356,-85.4058996
256182,Louisiana Tech University,19,32.5282644,-92.6499298
489153,University of the Witwatersrand,19,-26.1928836,28.0304733
856478,Carnegie Mellon University Tepper School of Business,19,40.4450795,-79.9453962
36355,Chartered Institute of Management Accountants (CIMA) (UK),18,51.5195082,-0.0870554
63471,Westminster College London,18,51.520718,-0.1220533
60833,cole des Hautes tudes Commerciales de Paris (HEC Paris School of Management) (HEC Paris),17,48.757334,2.1693947
62192,University of Birmingham,17,52.4508168,-1.9305135
63318,Universit de Paris (University of Paris),17,48.8469373,2.344468
90657,University of Nevada,17,39.5441917,-119.816397
482832,United States Air Force Air War College,17,32.3863592,-86.3439681
594394,Queens College,17,40.7366437,-73.8200894
606498,Johns Hopkins University School for Advanced International Studies (SAIS),17,38.90813,-77.040279
940956,CT Bauer College of Business University of Houston,17,29.7209377,-95.3393942
39472,Fairfield University,16,41.1588424,-73.2573886
42659,University of Cape Town,16,-33.957652,18.4611991
60610,University of Edinburgh,16,55.9445158,-3.1892413
61811,Seattle University,16,47.6091799,-122.3173119
1584273,Southern Methodist University Dedman School of Law,16,32.8463803,-96.7860934
60260,California State University Los Angeles (Formerly known as Los Angeles State College),15,34.0681911,-118.1690426
61758,Saint Mary's College of California,15,37.8416252,-122.1098786
62539,University of North Texas (UNT) (Formerly known as North Texas State University),15,33.207488,-97.1525862
62443,University of Manitoba,14,49.8075008,-97.1366259
60283,Carleton University,13,45.3875812,-75.6960202
60834,Haverford College,13,40.0093478,-75.305656
62266,Kbenhavns Universitet (University of Copenhagen),13,55.6802303,12.5724096
62658,University of Scranton,13,41.4056065,-75.656958
78735,Hampton University,13,37.0228392,-76.3343603
79409,Virginia Military Institute,13,37.79151,-79.435352
80702,US Army War College (USAWC),13,40.2102803,-77.1755376
60598,cole Polytechnique - Paris,12,48.7142971,2.2112917
78437,Abilene Christian University (ACU),12,32.469732,-99.708098
79974,St Bonaventure University,12,42.0784113,-78.4828822
124882,Phillips Academy Andover,12,42.6471655,-71.1322796
45641,Durham University,11,54.7649859,-1.5782029
60122,Baldwin Wallace University (Baldwin-Wallace College prior to 07/2012),11,41.3711165,-81.8478088
62862,Virginia Commonwealth University,11,37.5483122,-77.4526805
63104,Imperial College London (The Imperial College of Science Technology and Medicine),11,51.4987997,-0.1748772
79150,Yale School of Medicine (Yale-New Haven Medical Center),11,41.30323,-72.9338698
79815,Nova Southeastern University,11,26.0800444,-80.2453353
488151,College of Business Administration Marquette University,11,43.0377094,-87.9278065
597379,Washington College of Law American University,11,38.9452951,-77.0803772
60026,Albion College,10,42.2440064,-84.7451775
62256,University College Dublin (UCD),10,53.3082312,-6.224133
62441,University of Manchester,10,53.4668498,-2.2338837
62672,University of Southampton,10,50.934189,-1.3956847
65371,University of Connecticut School of Law,10,41.7719243,-72.7076438
97617,Susquehanna University,10,40.7973267,-76.8744803
660913,School of International and Public Affairs (SIPA) Columbia University,10,40.8075434,-73.9597249
60421,College of Wooster,9,40.8114268,-81.9372838
60576,cole Centrale Paris (cole centrale des arts et manufactures) (ECP) (Ceased Trading 01/2015),9,48.708759,2.164006
61380,National Defense University (NDU) (USA),9,38.8667772,-77.0145523
61413,New Jersey Institute of Technology (NJIT),9,40.7423345,-74.1793409
61454,North Dakota State University (NDSU),9,46.8977528,-96.8024367
62247,University College London (UCL),9,51.5245592,-0.1340401
63055,Universitt zu Kln (University of Cologne),9,50.9281625,6.9288193
76943,Handelshgskolan i Stockholm (Stockholm School of Economics),9,59.3416182,18.0567906
77954,Lake Forest College,9,42.2501848,-87.8287038
79873,Queens College City University of New York,9,40.7366437,-73.8200894
99907,Rutgers School of Law,9,39.947393,-75.1208107
36331,University of Madrid,8,40.4454368,-3.7299424
62263,Universidad Complutense de Madrid (Complutense University of Madrid) (UCM),8,40.4454368,-3.7299424
62417,University of Liverpool,8,53.4047824,-2.965299
63245,Gteborgs Universitet (University of Gothenburg),8,57.6981719,11.971878
63433,Massachusetts College of Pharmacy and Health Sciences,8,42.3364386,-71.1014439
64885,Universit Paris 1 - Pantheon Sorbonne (Paris 1 University - Pantheon Sorbonne),8,48.8469373,2.344468
60286,Carroll College,7,46.600734,-112.03888
60579,cole Nationale Superieure d'Arts et Metiers (ENSAM),7,48.833054,2.3581883
60592,cole Nationale Superieure des Telecommunications (ENST) (Telecom) (Telecom ParisTech),7,48.7139908,2.2012343
62681,Universitat St Gallen (HSG) (University of St Gallen),7,47.4321575,9.3755673
79619,Marist College,7,41.7225348,-73.9326626
118747,AB Freeman School of Business Tulane University,7,29.9390729,-90.1195722
36352,Association of Chartered Certified Accountants (ACCA) (UK),6,43.6495382,-79.3845795
43707,Magdalen College Oxford University,6,51.7522849,-1.2470927
61193,Lunds Universitet (Lund University),6,55.7119483,13.203493
64921,University of Bristol,6,51.4584172,-2.6029792
94081,University of Phoenix,6,33.4113568,-112.0127377
664466,Institute of Corporate Directors (ICD),6,43.6544049,-79.3808085
1542737,College of Business University of Illinois at Urbana-Champaign (College of Commerce and Business Administration prior to 2003),6,40.1036099,-88.2298467
51969,University of Huddersfield,5,53.643727,-1.7787888
57519,Universit Paris-Dauphine Paris (Paris-Dauphine University),5,48.869962,2.2734833
60225,Brunel University,5,51.5324044,-0.4729931
61190,Ludwig Maximilians Universitt Mnchen (Ludwig Maximilians University of Munich),5,48.1504827,11.5802362
62148,Universiteit van Amsterdam (University of Amsterdam),5,52.3558182,4.9557263
62185,University of Bath,5,51.3782228,-2.3263987
62412,Universite Libre de Bruxelles (ULB) (Free University of Brussels),5,50.8132068,4.3822222
62523,University of New Orleans,5,30.0285959,-90.0660365
63004,Uppsala Universitet (Uppsala University),5,59.8509005,17.6300093
63485,Universit de Toulouse (University of Toulouse),5,43.5948995,1.4513862
63510,King's College Cambridge University of Cambridge,5,52.2042184,0.1165077
79482,Capital University,5,39.9551049,-82.9375379
82767,Delaware Law School,5,39.817224,-75.546148
83177,Niagara University,5,43.1369816,-79.0349955
482000,Washington University School of Medicine St Louis,5,38.6351441,-90.2629289
561756,University of Canterbury,5,-43.5235375,172.5839233
602911,cole Polytechnique Fdrale de Lausanne (EPFL) (Federal Polytechnic University of Lausanne),5,46.5190557,6.5667576
802369,Duke University Medical Center,5,36.0071459,-78.9371203
820776,McDaniel College (Formerly known as Western Maryland College),5,39.5829905,-77.0037192
1583883,Universitt Zrich (University of Zurich),5,47.3743221,8.5509812
38129,Chartered Institute of Marketing (CIM) (UK),4,51.5589418,-0.7126076
43524,Institute of Chartered Engineers (ICE) (UK),4,51.5008938,-0.1290467
61839,Simon Fraser University,4,49.2780937,-122.9198833
61890,Missouri State University (Southwest Missouri State University prior to 08/2005),4,37.2005546,-93.2806806
63019,Universit Commerciale Luigi Bocconi (Bocconi University of Milan),4,45.4485736,9.189945
63304,Handelshjskolen i Kbenhavn (Copenhagen Business School),4,55.6815652,12.5296944
63314,cole Nationale d'Administration (ENA),4,48.5807162,7.7373993
63483,Technische Universitt Berlin (Technical University of Berlin),4,52.5125322,13.3269446
63522,Exeter College Oxford University,4,51.7536353,-1.2561546
64214,Pacific Coast Banking School,4,47.6304365,-122.1930461
78210,University of Denver Graduate School of International Studies,4,39.6759427,-104.9621703
78945,Florida Southern College,4,28.0314545,-81.9450401
80639,Teachers College Columbia University,4,40.8101745,-73.9606229
111922,Ferris State University,4,43.6834099,-85.4841782
467486,Boston Latin School,4,42.3378831,-71.1011237
486450,Association for Operations Management (APICS),4,41.983183,-87.839467
490877,Eugene M Isenberg School of Management University of Massachusetts,4,42.386697,-72.524893
830525,NACD Corporate Directors Institute,4,40.7547063,-73.9921114
1491204,Marian University,4,39.8141796,-86.2031449
36925,Kungliga Tekniska Hgskolan (KTH Royal Institute of Technology),3,59.3498195,18.070511
42710,Universitt des Saarlandes Saarbrcken (University of Saarland Saarbrcken),3,49.2550284,7.040975
43366,Heriot-Watt University,3,55.9096602,-3.3203494
60355,Christian Albrechts Universitt zu Kiel (Christian Albrechts University of Kiel),3,54.3460549,10.1147022
60595,cole Normale Suprieure (ENS),3,48.8422058,2.3451689
62127,University of Aberdeen,3,57.16476,-2.1015257
63071,cole Nationale Superieure des Mines de Paris (ENSMP) (Mines ParisTech),3,48.8449637,2.3396105
63180,Universite Catholique de Louvain (UCL) (University of Louvain),3,50.6696875,4.6155909
63287,Cranfield School of Management,3,52.074738,-0.625599
63391,IESE Business School Universidad de Navarra (Instituto de Estudios Superiores de la Empresa),3,41.3936902,2.1058594
65335,Institute of Chartered Accountants of Scotland CA (ICAS),3,36.778261,-119.4179324
74592,South African Institute of Chartered Accountants (SAICA),3,-29.8291159,30.9645582
79331,Yeshiva University,3,40.8506725,-73.9295149
81969,National Chiao Tung University,3,24.7860354,120.999505
84917,Cleveland Marshall College of Law,3,41.5015478,-81.6785243
100436,Elmhurst College,3,41.8958085,-87.9456074
106812,Bemidji State University,3,47.4863568,-94.8746225
484478,Creighton University School of Law,3,41.2642636,-95.9443857
1221943,Case Western Reserve University School of Law,3,41.510363,-81.608703
1578979,Duquesne University School of Business,3,40.4374751,-79.993797
36353,Institute of Chartered Secretaries and Administrators (ICSA) (UK),2,51.0108198,-0.9190473
36357,Chartered Insurance Institute (CII) (UK),2,51.5938093,0.0227554
36364,Institute of Directors (IOD) (UK),2,54.5763634,-5.9332404
36456,Institute of Electrical and Electronics Engineers Inc (IEEE),2,40.5399839,-74.4710527
44135,Universitt Mannheim (University of Mannheim),2,49.4837106,8.4622333
45063,New York City Public Schools,2,40.7277257,-73.9783818
60326,Chalmers Tekniska Hgskola (Chalmers University of Technology),2,57.6897063,11.9741654
61285,Middlesex University (Middlesex Polytechnic prior to 1992),2,51.5901379,-0.228914
62028,Technische Universitt Mnchen (Technical University of Munich),2,48.14966,11.5678602
62183,Universitat Basel (University of Basel),2,47.5602535,7.5826
62301,University of Exeter,2,50.7371369,-3.5351475
62362,University of Hull,2,53.773162,-0.3677464
62408,University of Leicester,2,52.6211393,-1.1246325
63099,University of Bosphorus,2,41.0847571,29.0510399
63183,University of Bern,2,46.9504896,7.438119
64231,St Catharines College Cambridge University,2,52.2029253,0.1168263
65283,Columbia School of Engneering,2,40.8093798,-73.9599676
100587,Institute of Paper Science and Technology (IPST) (Formerly known as Institute of Paper Chemistry),2,33.7811999,-84.4041882
127602,University of St Andrews,2,56.3417136,-2.7942674
268382,University of Texas Medical Branch (UTMB),2,29.3110749,-94.7777888
643578,American Board of Physical Medicine and Rehabilitation (ABPMR),2,44.023421,-92.509347
660932,University of Illinois College of Law,2,40.100947,-88.2319694
666600,University of Tennessee College of Law,2,35.9581686,-83.9294421
817707,Our Lady of the Lake University,2,29.4263921,-98.5433881
819564,Vanderbilt University School of Engineering,2,36.1447197,-86.8030878
1489868,Universite de Bordeaux (University of Bordeaux),2,44.8258602,-0.6058382
1549075,School of Education Boston University,2,42.3496967,-71.1008518
37254,Queen Mary University of London (Formerly known as Queen Mary and Westfield College),1,51.5240671,-0.0403745
37538,Institute of Chartered Accountants in Ireland (ICAI),1,53.3440657,-6.2483622
38768,Institute of Physics (IOP) (UK),1,51.5322611,-0.1205371
38902,International Management Institute (IMI),1,28.5390136,77.18152
40950,Imperial College Business School,1,51.49933,-0.174786
41987,Albert Einstein College of Medicine of Yeshiva University,1,40.8527012,-73.8463432
45043,Trinity College (Cambridge Finance Committee),1,52.2069577,0.1130816
60602,cole superieure d'electricite (ESE) (SUPELEC) (Ceased Trading 01/2015),1,48.7087594,2.1640062
61420,New School for Social Research,1,40.7355074,-73.9942686
61605,Politecnico di Torino (Polytechnic University of Turin),1,45.0624847,7.6624561
62327,Georg August Universitt Gttingen (Georg August University of Gttingen),1,51.5408116,9.9374005
62355,University of Helsinki,1,60.1726348,24.9510419
62696,Universit degli Studi di Firenze (University of Florence),1,43.7776426,11.259765
62712,University of Surrey,1,51.2427533,-0.5877755
62783,University of Wales Cardiff,1,51.4855979,-3.1809939
63200,Churchill College Cambridge University,1,52.21313,0.09987
63435,Roxbury Latin School,1,42.2756452,-71.1559917
63855,Jesus College Cambridge University,1,52.209043,0.123381
64735,Copenhagen College of Pharmacy,1,55.6802303,12.5724096
64937,University of Connecticut School of Business,1,41.76712,-72.6707688
66948,Cardiff University,1,51.4866271,-3.1788641
79054,Franklin University,1,39.9583587,-82.9903407
79412,Governors State University (GSU),1,41.4486609,-87.7165346
80461,Politecnico di Milano (Milan Polytechnic),1,45.4780906,9.2282377
90857,Austin College,1,33.6476514,-96.5975493
93422,US Marine Corps Officer Training School,1,38.4960167,-77.3127081
94826,Talladega College,1,33.4327519,-86.1135613
101547,Newark College of Engineering,1,40.7441693,-74.1792556
138141,Universidad de Barcelona (University of Barcelona),1,41.386608,2.16402
243432,Midland College,1,32.0304457,-102.1061597
254451,Swiss Institute of Certified Accountants and Tax Consultants,1,40.7284172,-73.9875484
255937,Cranbrook Schools,1,42.5676106,-83.2516462
465115,Tusculum College,1,36.1724335,-82.7608814
489185,Indiana Institute of Technology (Indiana Tech),1,41.077818,-85.116851
575025,Sir George Williams University,1,45.495746,-73.5781092
590127,Fels Institute of Government,1,39.95351,-75.200022
643649,Arkansas Tech University,1,35.2944535,-93.1362663
660106,Universidad de Chile (University of Chile),1,-33.4445204,-70.6509277
851324,Ecole Superieure de Chimie Industrielle de Lyon (CIE),1,45.7838533,4.8690119
882276,De La Salle High School,1,39.058552,-94.5717191
955887,University of KwaZulu-Natal,1,-29.8674219,30.9807272
1061074,Centro Universitrio da FEI,1,-23.7242412,-46.5793979
1471729,Southern Illinois University Carbondale,1,37.7100209,-89.2225941
2419095,Rutgers University New Brunswick,1,40.5008186,-74.4473991
